"Quantity","Part Number","Manufacturer Part Number"
"5","ATMEGA32U4-AURCT-ND","ATMEGA32U4-AUR"
"2","SER3686CT-ND","FA-238 16.0000MB-C3"
"10","399-1113-1-ND","C0805C220J5GACTU"
"10","311-1361-1-ND","CC0805ZRY5V9BB104"
"10","1276-6465-1-ND","CL21A475KQFNNNG"
"10","A126352CT-ND","CRG0805F22R"
"10","RMCF0805JT10K0CT-ND","RMCF0805JT10K0"
"10","A126379CT-ND","CRG0805F5K1"
"10","1N4148WTPMSCT-ND","1N4148W-TP"
"10","EG2531CT-ND","TL3342F160QG/TR"
"5","12401610E4#2ACT-ND","12401610E4#2A"
"10","311-1365-1-ND","CC0805KKX7R7BB105"
